"CR","HD","HP","INIT","NAME","URL"
"3","6d8","27","+7","Skeleton, Troll","http://www.d20pfsrd.com/bestiary/monster-listings/undead/skeleton-medium/skeleton-troll"
"2","4d8","18","+4","Skeleton, Ogre","http://www.d20pfsrd.com/bestiary/monster-listings/undead/skeleton-medium/skeleton-ogre"
"18","24d8+192","300","+7","Saxra","http://www.d20pfsrd.com/bestiary/monster-listings/undead/saxra"
"20","24d8+216","324","+3","Ravener, Ancient Blue Dragon","http://www.d20pfsrd.com/bestiary/monster-listings/undead/ravener/ravener-ancient-blue-dragon"
"6","11d8+33","82","+1","Ragewight","http://www.d20pfsrd.com/bestiary/monster-listings/undead/ragewight"
"7","8d8+48","84","+8","Psychic Stalker","http://www.d20pfsrd.com/bestiary/monster-listings/undead/psychic-stalker"
"8","10d8+50","95","+8","Polong","http://www.d20pfsrd.com/bestiary/monster-listings/undead/polong"
"11","15d8+75","142","+7","Pharaonic Guardian","http://www.d20pfsrd.com/bestiary/monster-listings/undead/pharaonic-guardian"
"17","21d8+147","241","+9","Advanced Nightwing","http://www.d20pfsrd.com/bestiary/monster-listings/undead/nightshade/nightwing/advanced-nightwing"
"3","4d8+8","26","+1","Necrocraft","http://www.d20pfsrd.com/bestiary/monster-listings/undead/necrocraft"
"4","7d8+21","52","+5","Mummy, Swamp","http://www.d20pfsrd.com/bestiary/monster-listings/undead/mummy/mummy-swamp"
"10","9d8+63","103","+2","Mummy Lord","http://www.d20pfsrd.com/bestiary/monster-listings/undead/mummy/mummy-lord"
"6","7d8+14","45","+4","Mummified Hippopotamus","http://www.d20pfsrd.com/bestiary/monster-listings/undead/mummy/mummified-hippopotamus"
"9","11d8+22","71","+0","Mummified Elephant","http://www.d20pfsrd.com/bestiary/monster-listings/undead/mummy/mummified-elephant"
"2","3d8+6","19","+1","Mummified Crocodile","http://www.d20pfsrd.com/bestiary/monster-listings/undead/mummy/mummified-crocodile"
"9","12d8+60","114","+5","Mummified Gynosphinx","http://www.d20pfsrd.com/bestiary/monster-listings/undead/mummified-gynosphinx"
"1/2","1d8+2","6","+2","Mummified Baboon","http://www.d20pfsrd.com/bestiary/monster-listings/undead/mummy/mummified-baboon"
"12","11d6+55","96","+5","Lich, Psychic","http://www.d20pfsrd.com/bestiary/monster-listings/undead/lich/lich-psychic"
"4","5d8+10","32","-1","Leechroot","http://www.d20pfsrd.com/bestiary/monster-listings/undead/leechroot"
"6","9d8+36","76","+8","Kurobozu","http://www.d20pfsrd.com/bestiary/monster-listings/undead/kurobozu"
"11","14d8+84","147","+9","Harionago","http://www.d20pfsrd.com/bestiary/monster-listings/undead/harionago"
"4","5d8+15","37","+5","Gravebound","http://www.d20pfsrd.com/bestiary/monster-listings/undead/gravebound"
"10","12d8+72","126","+7","Ghoul, Leng","http://www.d20pfsrd.com/bestiary/monster-listings/undead/ghoul/ghoul-leng"
"11","11d8+77","126","+11","Ghost, Prana (Half-elf Hydrokineticist 11)","http://www.d20pfsrd.com/bestiary/monster-listings/undead/ghost/ghost-prana"
"9","12d8+60","114","+9","Geist","http://www.d20pfsrd.com/bestiary/monster-listings/undead/geist"
"13","19d8+95","180","+4","Gashadokuro","http://www.d20pfsrd.com/bestiary/monster-listings/undead/gashadokuro"
"7","9d8+32","74","+6","Gaki","http://www.d20pfsrd.com/bestiary/monster-listings/undead/gaki"
"10","15d8+60","127","+4","Fext","http://www.d20pfsrd.com/bestiary/monster-listings/undead/fext"
"6","9d8+9","49","+2","Ghoul Hound Hero (3pp)","http://www.d20pfsrd.com/bestiary/monster-listings/undead/festrog/ghoul-hound-hero"
"1","3d8","13","+1","Ghoul Hound Companion (3pp)","http://www.d20pfsrd.com/bestiary/monster-listings/undead/festrog/ghoul-hound-companion"
"8","9d8+18","58","+9","Festering Spirit","http://www.d20pfsrd.com/bestiary/monster-listings/undead/festering-spirit"
"3","5d8+5","27","+0","Fellsig","http://www.d20pfsrd.com/bestiary/monster-listings/undead/fellsig"
"8","11d8+44","93","+3","Fallen","http://www.d20pfsrd.com/bestiary/monster-listings/undead/fallen"
"8","20d8+20","110","+0","Exoskeleton Titan Centipede","http://www.d20pfsrd.com/bestiary/monster-listings/undead/exoskeleton-titan-centipede"
"4","9d8+9","49","+0","Exoskeleton Giant Stag Beetle","http://www.d20pfsrd.com/bestiary/monster-listings/undead/exoskeleton-giant-stag-beetle"
"3","5d8+10","32","+7","Edimmu","http://www.d20pfsrd.com/bestiary/monster-listings/undead/edimmu"
"7","9d8+36","76","+4","Drocha Swarm","http://www.d20pfsrd.com/bestiary/monster-listings/undead/drocha-swarm"
"1","1d10+1","9","+3","Dread Zombie Aasimar Warrior","http://www.d20pfsrd.com/bestiary/monster-listings/undead/dread-zombie-aasimar-warrior"
"16","24d8+168","276","+14","Death, Lesser","http://www.d20pfsrd.com/bestiary/monster-listings/undead/death-lesser"
"14","17d8+136","212","+14","Death Coach","http://www.d20pfsrd.com/bestiary/monster-listings/undead/death-coach"
"10","14d8+56","119","+4","Cursed King","http://www.d20pfsrd.com/bestiary/monster-listings/undead/cursed-king"
"15","22d8+110","209","+9","Crone Queen","http://www.d20pfsrd.com/bestiary/monster-listings/undead/crone-queen"
"3","5d8+10","32","+1","Combusted","http://www.d20pfsrd.com/bestiary/monster-listings/undead/combusted"
"9","13d8+39","97","+11","Caller in Darkness","http://www.d20pfsrd.com/bestiary/monster-listings/undead/caller-in-darkness"
"10","15d8+75","150","+7","Burning Child","http://www.d20pfsrd.com/bestiary/monster-listings/undead/burning-child"
"18","26d8+182","299","+4","Bone Ship","http://www.d20pfsrd.com/bestiary/monster-listings/undead/bone-ship"
"2","3d8+6","19","+1","Giant Beheaded, Screaming","http://www.d20pfsrd.com/bestiary/monster-listings/undead/beheaded/beheaded-giant/gian-beheaded-screaming"
"2","3d8+6","19","+1","Giant Beheaded, Grabbing","http://www.d20pfsrd.com/bestiary/monster-listings/undead/beheaded/beheaded-giant/giant-beheaded-grabbing"
"3","3d8+6","19","+1","Giant Beheaded, Burning","http://www.d20pfsrd.com/bestiary/monster-listings/undead/beheaded/beheaded-giant/giant-beheaded-burning"
"3","3d8+6","19","+1","Giant Beheaded, Belching","http://www.d20pfsrd.com/bestiary/monster-listings/undead/beheaded/beheaded-giant/giant-beheaded-belching"
"1/3","1d8","4","+2","Beheaded, Screaming","http://www.d20pfsrd.com/bestiary/monster-listings/undead/beheaded/severed-head/screaming-severed-head"
"1/3","1d8","4","+2","Beheaded, Grabbing","http://www.d20pfsrd.com/bestiary/monster-listings/undead/beheaded/severed-head/grabbing-severed-head"
"1/2","1d8","4","+2","Beheaded, Burning","http://www.d20pfsrd.com/bestiary/monster-listings/undead/beheaded/severed-head/severed-head-burning"
"4","6d8+18","45","+4","Variant Attic Whisperer","http://www.d20pfsrd.com/bestiary/monster-listings/undead/attic-whisperer/variant-attic-whisperer"
"8","9d8+27","67","-1","Arsinoitherium, Floodslain","http://www.d20pfsrd.com/bestiary/monster-listings/undead/arsinoitherium-floodslain"
"3","4d8+12","30","+2","Variant Allip","http://www.d20pfsrd.com/bestiary/monster-listings/undead/allip/mother-comfort"
"18","28d8+140","266","+7","Zygomind","http://www.d20pfsrd.com/bestiary/monster-listings/plants/zygomind"
"2","3d8+6","19","+2","Tsaalgrend","http://www.d20pfsrd.com/bestiary/monster-listings/plants/tsaalgrend"
"9","12d8+60","114","+9","Stranglereed","http://www.d20pfsrd.com/bestiary/monster-listings/plants/stranglereed"
"4","6d8+30","57","-1","Sawdust Slough","http://www.d20pfsrd.com/bestiary/monster-listings/plants/sawdust-slough"
"5","7d8+28","59","+8","Saguaroi","http://www.d20pfsrd.com/bestiary/monster-listings/plants/saguaroi"
"7","10d8+40","85","+3","Psychepore","http://www.d20pfsrd.com/bestiary/monster-listings/plants/psychepore"
"1/6","1d8+1","5","-1","Petrifern","http://www.d20pfsrd.com/bestiary/monster-listings/plants/petrifern"
"11","15d8+75","142","+8","Nulmind","http://www.d20pfsrd.com/bestiary/monster-listings/plants/nulmind"
"4","5d8+20","42","+6","Living Topiary","http://www.d20pfsrd.com/bestiary/monster-listings/plants/living-topiary"
"5","7d8+21","52","+6","Leshy, Lotus","http://www.d20pfsrd.com/bestiary/monster-listings/plants/leshy-template/leshy-lotus"
"4","6d8+12","39","+6","Leshy, Flytrap","http://www.d20pfsrd.com/bestiary/monster-listings/plants/leshy-template/leshy-flytrap"
"3","4d8+8","26","+7","Kawa Akago","http://www.d20pfsrd.com/bestiary/monster-listings/plants/kawa-akago"
"17/MR 7","14d8+238","301","-2","Irminsul","http://www.d20pfsrd.com/bestiary/monster-listings/plants/irminsul"
"6","9d8+18","58","+8","Griefgall","http://www.d20pfsrd.com/bestiary/monster-listings/plants/griefgall"
"8","8d8+48","84","+4","Fungal Nymph","http://www.d20pfsrd.com/bestiary/monster-listings/plants/fungal-nymph"
"11","13d8+117","175","+10","Giant Flytrap, Advanced","http://www.d20pfsrd.com/bestiary/monster-listings/plants/flytrap-giant/dragon-advanced-giant-flytrap"
"14","20d8+140","230","-1","Bodythief","http://www.d20pfsrd.com/bestiary/monster-listings/plants/bodythief"
"13","17d8+102","178","+4","Corpse Lotus","http://www.d20pfsrd.com/bestiary/monster-listings/plants/corpse-lotus"
"15","22d8+154","253","+5","Barometz","http://www.d20pfsrd.com/bestiary/monster-listings/plants/barometz"
"4","6d10+6","39","+5","Zentragt","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/zentragt"
"4","5d10+10","37","+6","Yhohm","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/yhohm"
"4","6d10","33","+1","Xocothian","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/xocothian"
"9","13d10+52","123","+8","Xill Matriarch","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/xill/xill-matriarch"
"2","3d10+6","22","+1","Wysp, Water","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/wysp/wysp-water"
"20","23d8+253","356","+10","Lotus Tree","http://www.d20pfsrd.com/bestiary/monster-listings/plants/lotus-tree"
"2","3d10+3","19","+6","Wysp, Fire","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/wysp/wysp-fire"
"2","3d10+9","25","+1","Wysp, Earth","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/wysp/wysp-earth"
"2","3d10+3","19","+4","Wysp, Air","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/wysp/wysp-air"
"2","3d10+6","22","+7","Wysp, Aether","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/wysp/wysp-aether"
"8","10d10+20","75","+7","Weird, Blood","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/weirds-tohc/weird-blood"
"14","16d10+112","200","+6","Wakandagi","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/wakandagi"
"9","12d10+48","114","+3","Vescavor Queen","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/vescavor-queen"
"4","6d10+6","39","+3","Vendenopterix","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/vendenopterix"
"7","9d10+36","85","+3","Veela, Water","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/veela/veela-water"
"7","9d10+36","85","+3","Veela, Fire","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/veela/veela-fire"
"7","9d10+36","85","+3","Veela, Earth","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/veela/veela-earth"
"7","9d10+36","85","+3","Veela, Air","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/veela/veela-air"
"19","28d10+196","350","+7","Turul","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/turul"
"2","1d10+13","18","+4","Tsukumogami, Koto-Furunishi","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/tsukumogami/tsukumogami-koto-furunishi"
"4","2d10+16","27","+3","Tsukumogami, Kasa-Obake","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/tsukumogami/tsukumogami-kasa-obake"
"5","3d10+32","48","+2","Tsukumogami, Boroboroton","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/tsukumogami/tsukumogami-boroboroton"
"22/MR 8","18d10+314","413","+1","Titan, Fomorian","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/titan/titan-fomorian"
"24/MR 9","26d10+402","545","+21/+1","Titan, Danava","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/titan/titan-danava"
"3","4d10","22","+8","Shulsaga","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/shulsaga"
"6","6d10+30","63","+8","Shadow Mastiff, Elite","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/shadow-mastiff/shadow-mastiff-elite"
"1/2","1d8+4","12","+1","Shabti","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/shabti"
"4","4d10+12","34","+3","Sarcovalt","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/sarcovalt"
"6","8d10+24","68","+7","Sahkil, Wihsaak","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/sahkil/sahkil-wihsaak"
"16","18d10+144","243","+8","Sahkil, Qolok","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/sahkil/sahkil-qolok"
"9","11d10+55","115","+10","Sahkil, Pakalchi","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/sahkil/sahkil-pakalchi"
"20","25d10+225","362","+9","Sahkil, Kimenhul","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/sahkil/sahkil-kimenhul"
"2","3d10+3","19","+7","Sahkil, Esipil","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/sahkil/sahkil-esipil"
"12","15d10+75","157","+8","Rakshasa, Avatarana","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/rakshasa/rakshasa-avatarana"
"4","5d10+10","37","-1","Qlippoth, Thognorok","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/qlippoth/qlippoth-thognorok"
"3","4d10+8","30","+3","Psychopomp, Esobok","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/psychopomp/psychopomp-esobok"
"8","11d8+55","104","+6","Psychopomp, Ember Weaver","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/psychopomp/psychopomp-ember-weaver"
"5","6d10+18","51","+7","Psychopomp, Catrina","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/psychopomp/psychopomp-catrina"
"4","6d10+12","45","+1","Psychopomp, Ahmuuth","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/psychopomp/psychopomp-ahmuuth"
"8","11d10+22","82","+8","Psychemental","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/psychemental"
"8","10d10+30","85","+10","Protean, Pelagastr","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/protean/protean-pelagastr"
"4","5d10+15","42","+3","Phantom, Unfettered","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/phantom-unfettered"
"4","5d10+10","37","+5","Pavbagha","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/pavbagha"
"6","8d10+32","76","+10","Owb","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/owb"
"4","5d10+10","37","+1","Orsheval","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/orsheval"
"6","9d10+18","67","+7","Mudlord","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/mudlord"
"9","12d10+48","114","+2","Moon Dog","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/moon-dog"
"22/MR 8","24d10+272","404","+19/-1","Manasaputra, Solar Pitri","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/manasaputra/manasaputra-solar-pitri"
"18","24d10+168","300","+12","Manasaputra, Twilight","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/manasaputra/manasaputra-twilight"
"14","18d10+90","189","+10","Manasaputra, Rishi Manu","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/manasaputra/manasaputra-rishi-manu"
"12","17d10+68","161","+8","Manasaputra, Manu","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/manasaputra/manasaputra-manu"
"16","19d10+133","237","+10","Manasaputra, Maharishi Manu","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/manasaputra/manasaputra-maharishi-manu"
"3","5d10+5","32","+6","Lamhigyn","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/lamhigyn"
"10","12d10+60","126","+3","Kyton, Sacristan","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/kyton/kyton-sacristan"
"4","5d10+10","37","+6","Kyton, Lampadarius","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/kyton/kyton-lampadarius"
"9","10d10+50","105","+9","Kyton, Cantor","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/kyton/kyton-cantor"
"4","5d10+10","37","+6","Karumzek","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/karumzek"
"11","14d10+56","133","+9","Impundulu","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/impundulu"
"5","7d10+21","59","+6","Hypnalis","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/hypnalis"
"4","5d10+5","32","+5","Guardian Spirit","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/guardian-spirit"
"7","8d10+3d8+22","80","+9","Janni Captain (Janni Ranger 2/Rogue 3)","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/genie/janni/janni-captain-janni-ranger-2-rogue-3"
"11","13d10+52","123","+9","Efreeti Janissary (Advanced Efreeti)","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/genie/efreeti/efreeti-janissary-advanced-efreeti"
"9","12d10+36","102","+9","Feargaunt","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/feargaunt"
"1","2d10+2","13","+2","Etiainen","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/etiainen"
